account,points,anomalies
28.0 - BLD 05_7929977,83,4
28.0 - BLD 06_8096601,83,5
28.0 - BLD 07_8096605,83,6
28.0 - BLD 08_8093918,83,6
28.0 - BLD 09 - Community Center_8570506,101,0
280.0 - BLD 01_8349972,103,3
280.0 - BLD 02_8349994,103,4
280.0 - BLD 03_8349995,103,4
280.0 - BLD 04_8561805,103,0
280.0 - BLD 05_8349996,103,7
280.0 - BLD 06_8349997,103,5
280.0 - BLD 07_8350178,103,6
281.0 - BLD 01_8205902,71,3
282.0 - BLD 01_6147844,95,4
285.0 - BLD 01_6251262,102,1
285.0 - BLD 02_6370152,102,1
285.0 - BLD 03_7117249,103,3
285.0 - BLD 04_7441733,102,2
285.0 - BLD 05_6415043,91,2
286.0 - BLD 03_7125119,103,2
286.0 - BLD 04_7835020,103,1
287.0 - BLD 01 - Community Center_8545700,103,7
287.0 - BLD 01_8545699,59,0
29.0 - BLD 01_8232121,103,4
29.0 - BLD 02_8232113,103,5
29.0 - BLD 03_8232100,103,4
29.0 - BLD 04_8232099,103,4
29.0 - BLD 05_8096712,53,3
29.0 - BLD 06_8232109,103,7
29.0 - BLD 07_8232123,103,6
29.0 - BLD 08_8232114,103,6
29.0 - BLD 09_8232101,103,6
29.0 - BLD 10_8232107,103,4
292.0 - BLD 01_5321429,102,8
292.0 - BLD 01_8465000,61,1
292.0 - BLD 01_8633611,97,5
292.0 - BLD 02_8361385,65,1
293.0 - BLD 01_5397806,103,9
293.0 - BLD 01_7505066,103,3
293.0 - BLD 03_7268715,95,2
293.0 - BLD 04_7268714,103,10
293.0 - BLD 05_7262872,72,3
296.0 - BLD 01_7406137,103,3
296.0 - BLD 02_5646098,58,1
296.0 - BLD 03_7677488,103,1
297.0 - BLD 01_5933799,92,0
297.0 - BLD 01_7860262,103,1
3.0 - BLD 01_8095249,96,2
3.0 - BLD 01_8095265,96,6
3.0 - BLD 02_8095247,96,5
3.0 - BLD 02_8095261,96,8
3.0 - BLD 03_8095248,96,8
3.0 - BLD 03_8095260,96,7
3.0 - BLD 04_8095271,96,5
3.0 - BLD 04_8095273,96,6
3.0 - BLD 05_8095259,96,5
3.0 - BLD 05_8095262,96,5
3.0 - BLD 06_8095266,96,3
3.0 - BLD 06_8095274,96,3
3.0 - BLD 07_8095250,96,3
3.0 - BLD 07_8095264,96,4
30.0 - BLD 01_8362650,60,4
30.0 - BLD 02_8362653,60,4
30.0 - BLD 03_8362651,60,5
30.0 - BLD 04 - Community Center_6673159,102,8
30.0 - BLD 04_8095311,60,2
30.0 - BLD 05_7930155,60,3
30.0 - BLD 06_7930178,60,1
30.0 - BLD 07_7423781,60,4
30.0 - BLD 08_8075319,60,4
30.0 - BLD 09_7930182,60,4
30.0 - BLD 10_8075306,60,3
302.0 - BLD 01_8023364,103,4
302.0 - BLD 01_8088709,103,9
302.0 - BLD 02_7608926,95,0
302.0 - BLD 03_7245207,69,3
302.0 - BLD 04_8074786,103,3
302.0 - BLD 05_6036863,103,0
302.0 - BLD 06_8160663,103,4
302.0 - BLD 07_6699321,103,0
302.0 - BLD 08_7661864,103,0
302.0 - BLD 09_5647341,103,3
302.0 - BLD 10_7972651,101,0
302.0 - BLD 11_7390166,103,5
